feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
abnormal_off_exchange_shorting,shorting,,,,,0,0,503,False
above_20dma,technical,-0.009866,-0.009866,-1.928446,0.009866,0,0,503,False
accruals,fundamental,-0.025274,-0.025274,-8.32949,0.025274,0,0,503,True
adx_14,technical,0.010197,0.010197,2.580687,0.010197,0,0,503,False
amihud,technical,0.05011,0.05011,11.636673,0.05011,0,0,503,True
analyst_coverage,analyst,-0.166618,-0.166618,-1.203851,0.166618,0,0,503,False
asset_growth,fundamental,0.027887,0.027887,5.924111,0.027887,0,0,503,True
atr_14,technical,0.081803,0.081803,9.043615,0.081803,0,0,503,True
bb_position,technical,-0.009586,-0.009586,-1.709857,0.009586,0,0,503,False
bb_width,technical,0.055601,0.055601,8.482509,0.055601,0,0,503,True
breadth_momentum,composite,,,,,0,0,503,False
breadth_pct_above_20dma,composite,-0.009874,-0.009874,-1.879677,0.009874,0,0,503,False
cci_20,technical,-0.011125,-0.011125,-2.001858,0.011125,0,0,503,False
close_to_vwap,intraday,,,,,0,0,503,False
consensus_upside,analyst_proxy,0.021344,0.021344,1.766061,0.021344,0,0,503,False
coverage_change_proxy,analyst_proxy,-0.011523,-0.011523,-1.669202,0.011523,0,0,503,False
credit_spread,macro,,,,,0,0,503,False
credit_spread_change,macro,,,,,0,0,503,False
credit_widening_x_leverage,composite,-0.025956,-0.025956,-4.831329,0.025956,0,0,503,True
crowding_unwind_risk,short_interest,0.008473,0.008473,2.377965,0.008473,0,0,503,False
current_ratio,fundamental,0.041835,0.041835,8.29537,0.041835,0,0,503,True
curve_inverted_x_growth,composite,0.010156,0.010156,0.928917,0.010156,0,0,503,False
days_since_last_10k,sec_filing,-0.009604,-0.009604,-3.081446,0.009604,0,0,503,False
days_since_last_10q,sec_filing,-0.013906,-0.013906,-5.52639,0.013906,0,0,503,False
days_since_last_8k,sec_filing,0.007633,0.007633,3.024976,0.007633,0,0,503,False
debt_to_equity,fundamental,-0.022068,-0.022068,-6.205546,0.022068,0,0,503,True
dividend_yield,fundamental,-0.024511,-0.024511,-3.668795,0.024511,0,0,503,True
downgrade_count,analyst_proxy,0.009975,0.009975,3.346125,0.009975,0,0,503,False
earnings_beat_recency,earnings,-0.00477,-0.00477,-1.608431,0.00477,0,0,503,False
earnings_beat_recency_30d,earnings,-0.00477,-0.00477,-1.608431,0.00477,0,0,503,False
earnings_beat_streak,earnings,-0.006855,-0.006855,-2.326251,0.006855,0,0,503,False
earnings_growth_yoy,fundamental,0.010118,0.010118,2.323514,0.010118,0,0,503,False
earnings_surprise_avg_4q,earnings,0.007409,0.007409,2.208488,0.007409,0,0,503,False
